ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C50A2,12.0,,age >= 50,
C50A2,12.0,,age < 50,
C510,11.0,,,
C511,11.0,,,
C512,11.0,,,
C518,11.0,,,
C519,11.0,,,
C52,11.0,,,
C530,11.0,,,
C531,11.0,,,
C538,11.0,,,
C539,11.0,,,
C540,12.0,,,
C541,12.0,,,
C542,12.0,,,
C543,12.0,,,
C548,12.0,,,
C549,12.0,,,
C55,12.0,,,
C561,10.0,,,
C562,10.0,,,
C563,10.0,,,
C569,10.0,,,
C5700,10.0,,,
C5701,10.0,,,
C5702,10.0,,,
C5710,10.0,,,
C5711,10.0,,,
C5712,10.0,,,
C5720,10.0,,,
C5721,10.0,,,
C5722,10.0,,,
C573,10.0,,,
C574,10.0,,,
C577,11.0,,,
C578,11.0,,,
C579,11.0,,,
C58,10.0,9 <= age <= 64,,
C600,12.0,,,
C601,12.0,,,
C602,12.0,,,
C608,12.0,,,
C609,12.0,,,
C61,12.0,,,
C6200,12.0,,,
C6201,12.0,,,
C6202,12.0,,,
C6210,12.0,,,
C6211,12.0,,,
C6212,12.0,,,
C6290,12.0,,,
C6291,12.0,,,
C6292,12.0,,,
C6300,12.0,,,
C6301,12.0,,,
C6302,12.0,,,
C6310,12.0,,,
C6311,12.0,,,
C6312,12.0,,,
C632,12.0,,,
C637,12.0,,,
C638,12.0,,,
C639,12.0,,,
C641,11.0,,,
C642,11.0,,,
C649,11.0,,,
C651,11.0,,,
C652,11.0,,,
C659,11.0,,,
C661,11.0,,,
C662,11.0,,,
C669,11.0,,,
C670,11.0,,,
C671,11.0,,,
C672,11.0,,,
C673,11.0,,,
C674,11.0,,,
C675,11.0,,,
C676,11.0,,,
C677,11.0,,,
C678,11.0,,,
C679,11.0,,,
C680,11.0,,,
C681,11.0,,,
C688,11.0,,,
C689,11.0,,,
C6900,12.0,,,
C6901,12.0,,,
C6902,12.0,,,
C6910,12.0,,,
C6911,12.0,,,
C6912,12.0,,,
C6920,12.0,,,
C6921,12.0,,,
C6922,12.0,,,
C6930,12.0,,,
C6931,12.0,,,
C6932,12.0,,,
C6940,12.0,,,
C6941,12.0,,,
C6942,12.0,,,
C6950,12.0,,,
C6951,12.0,,,
C6952,12.0,,,
C6960,12.0,,,
C6961,12.0,,,
C6962,12.0,,,
C6980,12.0,,,
C6981,12.0,,,
C6982,12.0,,,
C6990,12.0,,,
C6991,12.0,,,
C6992,12.0,,,
C700,10.0,,,
C701,10.0,,,
C709,10.0,,,
C710,10.0,,,
C711,10.0,,,
C712,10.0,,,
C713,10.0,,,
C714,10.0,,,
C715,10.0,,,
C716,10.0,,,
C717,10.0,,,
C718,10.0,,,
C719,10.0,,,
C720,10.0,,,
C721,10.0,,,
C7220,10.0,,,
C7221,10.0,,,
C7222,10.0,,,
C7230,10.0,,,
C7231,10.0,,,
C7232,10.0,,,
C7240,10.0,,,
C7241,10.0,,,
C7242,10.0,,,
C7250,10.0,,,
C7259,10.0,,,
C729,10.0,,,
C73,12.0,,,
C7400,10.0,,age >= 18,
C7400,10.0,,age < 18,
C7401,10.0,,age >= 18,
C7401,10.0,,age < 18,
C7402,10.0,,age >= 18,
C7402,10.0,,age < 18,
C7410,10.0,,age >= 18,
C7410,10.0,,age < 18,
C7411,10.0,,age >= 18,
C7411,10.0,,age < 18,
C7412,10.0,,age >= 18,
C7412,10.0,,age < 18,
C7490,10.0,,age >= 18,
C7490,10.0,,age < 18,
C7491,10.0,,age >= 18,
C7491,10.0,,age < 18,
C7492,10.0,,age >= 18,
C7492,10.0,,age < 18,
C750,12.0,,,
C751,10.0,,,
C752,10.0,,,
C753,10.0,,,
C754,12.0,,,
C755,12.0,,,
C758,12.0,,,
C759,12.0,,,
C760,12.0,,,
C761,12.0,,,
C762,12.0,,,
C763,12.0,,,
C7640,12.0,,,
C7641,12.0,,,
C7642,12.0,,,
C7650,12.0,,,
C7651,12.0,,,
C7652,12.0,,,
C768,12.0,,,
C770,8.0,,,
C771,8.0,,,
C772,8.0,,,
C773,10.0,,,
C774,8.0,,,
C775,8.0,,,
C778,8.0,,,
C779,10.0,,,
C7800,8.0,,,
C7801,8.0,,,
C7802,8.0,,,
C781,8.0,,,
C782,8.0,,,
C7830,8.0,,,
C7839,8.0,,,
C784,8.0,,,
C785,8.0,,,
C786,8.0,,,
C787,8.0,,,
