ICD10,CC,MCE_AGE_CONDITION
E093411,30.0,
E093412,30.0,
E093413,30.0,
E093419,30.0,
E093491,30.0,
E093492,30.0,
E093493,30.0,
E093499,30.0,
E093511,30.0,
E093512,30.0,
E093513,30.0,
E093519,30.0,
E093521,30.0,
E093522,30.0,
E093523,30.0,
E093529,30.0,
E093531,30.0,
E093532,30.0,
E093533,30.0,
E093539,30.0,
E093541,30.0,
E093542,30.0,
E093543,30.0,
E093549,30.0,
E093551,30.0,
E093552,30.0,
E093553,30.0,
E093559,30.0,
E093591,30.0,
E093592,30.0,
E093593,30.0,
E093599,30.0,
E0936,30.0,
E0937X1,30.0,
E0937X2,30.0,
E0937X3,30.0,
E0937X9,30.0,
E0939,30.0,
E0940,30.0,
E0941,30.0,
E0942,30.0,
E0943,30.0,
E0944,30.0,
E0949,30.0,
E0951,30.0,
E0952,30.0,
E0959,30.0,
E09610,30.0,
E09618,30.0,
E09620,30.0,
E09621,30.0,
E09621,311.0,
E09622,30.0,
E09622,311.0,
E09628,30.0,
E09630,30.0,
E09638,30.0,
E09641,30.0,
E09649,30.0,
E0965,30.0,
E0969,30.0,
E098,30.0,
E099,31.0,
E1010,30.0,
E1011,30.0,
E1021,30.0,
E1022,30.0,
E1029,30.0,
E10311,30.0,
E10319,30.0,
E103211,30.0,
E103212,30.0,
E103213,30.0,
E103219,30.0,
E103291,30.0,
E103292,30.0,
E103293,30.0,
E103299,30.0,
E103311,30.0,
E103312,30.0,
E103313,30.0,
E103319,30.0,
E103391,30.0,
E103392,30.0,
E103393,30.0,
E103399,30.0,
E103411,30.0,
E103412,30.0,
E103413,30.0,
E103419,30.0,
