ICD10,CC,MCE_AGE_CONDITION,AGE_EDIT_CONDITION,SEX_EDIT_CONDITION
C8383,21.0,,,
C8384,21.0,,,
C8385,21.0,,,
C8386,21.0,,,
C8387,21.0,,,
C8388,21.0,,,
C8389,21.0,,,
C838A,21.0,,,
C8390,21.0,,,
C8391,21.0,,,
C8392,21.0,,,
C8393,21.0,,,
C8394,21.0,,,
C8395,21.0,,,
C8396,21.0,,,
C8397,21.0,,,
C8398,21.0,,,
C8399,21.0,,,
C839A,21.0,,,
C8400,20.0,,,
C8401,20.0,,,
C8402,20.0,,,
C8403,20.0,,,
C8404,20.0,,,
C8405,20.0,,,
C8406,20.0,,,
C8407,20.0,,,
C8408,20.0,,,
C8409,20.0,,,
C840A,20.0,,,
C8410,17.0,,,
C8411,17.0,,,
C8412,17.0,,,
C8413,17.0,,,
C8414,17.0,,,
C8415,17.0,,,
C8416,17.0,,,
C8417,17.0,,,
C8418,17.0,,,
C8419,17.0,,,
C841A,17.0,,,
C8440,19.0,,,
C8441,19.0,,,
C8442,19.0,,,
C8443,19.0,,,
C8444,19.0,,,
C8445,19.0,,,
C8446,19.0,,,
C8447,19.0,,,
C8448,19.0,,,
C8449,19.0,,,
C844A,19.0,,,
C8460,20.0,,,
C8461,20.0,,,
C8462,20.0,,,
C8463,20.0,,,
C8464,20.0,,,
C8465,20.0,,,
C8466,20.0,,,
C8467,20.0,,,
C8468,20.0,,,
C8469,20.0,,,
C846A,20.0,,,
C8470,19.0,,,
C8471,19.0,,,
C8472,19.0,,,
C8473,19.0,,,
C8474,19.0,,,
C8475,19.0,,,
C8476,19.0,,,
C8477,19.0,,,
C8478,19.0,,,
C8479,19.0,,,
C847A,19.0,,,
C847B,19.0,,,
C8490,20.0,,,
C8491,20.0,,,
C8492,20.0,,,
C8493,20.0,,,
C8494,20.0,,,
C8495,20.0,,,
C8496,20.0,,,
C8497,20.0,,,
C8498,20.0,,,
C8499,20.0,,,
C849A,20.0,,,
C84A0,20.0,,,
C84A1,20.0,,,
C84A2,20.0,,,
C84A3,20.0,,,
C84A4,20.0,,,
C84A5,20.0,,,
C84A6,20.0,,,
C84A7,20.0,,,
C84A8,20.0,,,
C84A9,20.0,,,
C84AA,20.0,,,
C84Z0,20.0,,,
C84Z1,20.0,,,
C84Z2,20.0,,,
C84Z3,20.0,,,
C84Z4,20.0,,,
C84Z5,20.0,,,
C84Z6,20.0,,,
C84Z7,20.0,,,
C84Z8,20.0,,,
C84Z9,20.0,,,
C84ZA,20.0,,,
C8510,21.0,,,
C8511,21.0,,,
C8512,21.0,,,
C8513,21.0,,,
C8514,21.0,,,
C8515,21.0,,,
C8516,21.0,,,
C8517,21.0,,,
C8518,21.0,,,
C8519,21.0,,,
C851A,21.0,,,
C8520,21.0,,,
C8521,21.0,,,
C8522,21.0,,,
C8523,21.0,,,
C8524,21.0,,,
C8525,21.0,,,
C8526,21.0,,,
C8527,21.0,,,
C8528,21.0,,,
C8529,21.0,,,
C852A,21.0,,,
C8580,21.0,,,
C8581,21.0,,,
C8582,21.0,,,
C8583,21.0,,,
C8584,21.0,,,
C8585,21.0,,,
C8586,21.0,,,
C8587,21.0,,,
C8588,21.0,,,
C8589,21.0,,,
C858A,21.0,,,
C8590,21.0,,,
C8591,21.0,,,
C8592,21.0,,,
C8593,21.0,,,
C8594,21.0,,,
C8595,21.0,,,
C8596,21.0,,,
C8597,21.0,,,
C8598,21.0,,,
C8599,21.0,,,
C859A,21.0,,,
C8600,20.0,,,
C8601,20.0,,,
C8610,20.0,,,
C8611,20.0,,,
C8620,20.0,,,
C8621,20.0,,,
C8630,19.0,,,
C8631,19.0,,,
C8640,19.0,,,
C8641,19.0,,,
C8650,19.0,,,
C8651,19.0,,,
C8660,20.0,,,
C8661,20.0,,,
C8800,21.0,,,
C8801,21.0,,,
C8820,21.0,,,
C8821,21.0,,,
C8830,21.0,,,
C8831,21.0,,,
C8840,21.0,,,
C8841,21.0,,,
C8880,21.0,,,
C8881,21.0,,,
C8890,21.0,,,
C8891,21.0,,,
C9000,19.0,,,
C9001,19.0,,,
C9002,19.0,,,
C9010,19.0,,,
C9011,19.0,,,
C9012,19.0,,,
C9020,19.0,,,
C9021,19.0,,,
C9022,19.0,,,
C9030,19.0,,,
C9031,19.0,,,
C9032,19.0,,,
C9100,18.0,,age >= 18,
C9100,18.0,,age < 18,
C9101,18.0,,age >= 18,
C9101,18.0,,age < 18,
C9102,18.0,,age >= 18,
C9102,18.0,,age < 18,
C9110,22.0,,,
C9111,22.0,,,
C9112,22.0,,,
C9130,19.0,,,
C9131,19.0,,,
C9132,19.0,,,
C9140,22.0,,,
C9141,22.0,,,
C9142,22.0,,,
C9150,19.0,age >= 15,,
C9151,19.0,age >= 15,,
C9152,19.0,age >= 15,,
C9160,19.0,,,
C9161,19.0,,,
C9162,19.0,,,
C9190,22.0,,,
C9191,22.0,,,
C9192,22.0,,,
C91A0,20.0,,,
C91A1,20.0,,,
C91A2,20.0,,,
C91Z0,22.0,,,
C91Z1,22.0,,,
